store_id,item_id,current_inventory,incoming_inventory,lead_time_days,ordering_cost,holding_rate
CA_1,HOBBIES_1_158,,,,50.0,0.2
CA_1,HOBBIES_1_241,,,,50.0,0.2
CA_1,HOBBIES_1_147,,,,50.0,0.2
CA_1,HOBBIES_1_155,,,,50.0,0.2
CA_1,HOBBIES_1_297,,,,50.0,0.2
CA_1,HOBBIES_1_141,,,,50.0,0.2
CA_1,HOBBIES_1_166,,,,50.0,0.2
CA_1,HOBBIES_1_247,,,,50.0,0.2
CA_1,HOBBIES_1_085,,,,50.0,0.2
CA_1,HOBBIES_1_186,,,,50.0,0.2
CA_1,HOBBIES_1_064,,,,50.0,0.2
CA_1,HOBBIES_1_055,,,,50.0,0.2
CA_1,HOBBIES_1_134,,,,50.0,0.2
CA_1,HOBBIES_1_078,,,,50.0,0.2
CA_1,HOBBIES_1_226,,,,50.0,0.2
CA_1,HOBBIES_1_046,,,,50.0,0.2
CA_1,HOBBIES_1_050,,,,50.0,0.2
CA_1,HOBBIES_1_258,,,,50.0,0.2
CA_1,HOBBIES_1_089,,,,50.0,0.2
CA_1,HOBBIES_1_083,,,,50.0,0.2
CA_1,HOBBIES_1_029,,,,50.0,0.2
CA_1,HOBBIES_1_108,,,,50.0,0.2
CA_1,HOBBIES_1_099,,,,50.0,0.2
CA_1,HOBBIES_1_157,,,,50.0,0.2
CA_1,HOBBIES_1_215,,,,50.0,0.2
CA_1,HOBBIES_1_193,,,,50.0,0.2
CA_1,HOBBIES_1_081,,,,50.0,0.2
CA_1,HOBBIES_1_040,,,,50.0,0.2
CA_1,HOBBIES_1_126,,,,50.0,0.2
CA_1,HOBBIES_1_164,,,,50.0,0.2
CA_1,HOBBIES_1_300,,,,50.0,0.2
CA_1,HOBBIES_1_098,,,,50.0,0.2
CA_1,HOBBIES_1_144,,,,50.0,0.2
CA_1,HOBBIES_1_037,,,,50.0,0.2
CA_1,HOBBIES_1_137,,,,50.0,0.2
CA_1,HOBBIES_1_100,,,,50.0,0.2
CA_1,HOBBIES_1_195,,,,50.0,0.2
CA_1,HOBBIES_1_004,,,,50.0,0.2
CA_1,HOBBIES_1_173,,,,50.0,0.2
CA_1,HOBBIES_1_086,,,,50.0,0.2
CA_1,HOBBIES_1_120,,,,50.0,0.2
CA_1,HOBBIES_1_001,,,,50.0,0.2
CA_1,HOBBIES_1_160,,,,50.0,0.2
CA_1,HOBBIES_1_060,,,,50.0,0.2
CA_1,HOBBIES_1_048,,,,50.0,0.2
CA_1,HOBBIES_1_213,,,,50.0,0.2
CA_1,HOBBIES_1_153,,,,50.0,0.2
CA_1,HOBBIES_1_280,,,,50.0,0.2
CA_1,HOBBIES_1_180,,,,50.0,0.2
CA_1,HOBBIES_1_124,,,,50.0,0.2
CA_1,HOBBIES_1_123,,,,50.0,0.2
CA_1,HOBBIES_1_179,,,,50.0,0.2
CA_1,HOBBIES_1_228,,,,50.0,0.2
CA_1,HOBBIES_1_204,,,,50.0,0.2
CA_1,HOBBIES_1_211,,,,50.0,0.2
CA_1,HOBBIES_1_132,,,,50.0,0.2
CA_1,HOBBIES_1_308,,,,50.0,0.2
CA_1,HOBBIES_1_268,,,,50.0,0.2
CA_1,HOBBIES_1_208,,,,50.0,0.2
CA_1,HOBBIES_1_104,,,,50.0,0.2
CA_1,HOBBIES_1_189,,,,50.0,0.2
CA_1,HOBBIES_1_254,,,,50.0,0.2
CA_1,HOBBIES_1_301,,,,50.0,0.2
CA_1,HOBBIES_1_148,,,,50.0,0.2
CA_1,HOBBIES_1_237,,,,50.0,0.2
CA_1,HOBBIES_1_187,,,,50.0,0.2
CA_1,HOBBIES_1_125,,,,50.0,0.2
CA_1,HOBBIES_1_090,,,,50.0,0.2
CA_1,HOBBIES_1_225,,,,50.0,0.2
CA_1,HOBBIES_1_021,,,,50.0,0.2
CA_1,HOBBIES_1_028,,,,50.0,0.2
CA_1,HOBBIES_1_201,,,,50.0,0.2
CA_1,HOBBIES_1_079,,,,50.0,0.2
CA_1,HOBBIES_1_159,,,,50.0,0.2
CA_1,HOBBIES_1_116,,,,50.0,0.2
CA_1,HOBBIES_1_266,,,,50.0,0.2
CA_1,HOBBIES_1_068,,,,50.0,0.2
CA_1,HOBBIES_1_151,,,,50.0,0.2
CA_1,HOBBIES_1_251,,,,50.0,0.2
CA_1,HOBBIES_1_027,,,,50.0,0.2
CA_1,HOBBIES_1_042,,,,50.0,0.2
CA_1,HOBBIES_1_235,,,,50.0,0.2
CA_1,HOBBIES_1_287,,,,50.0,0.2
CA_1,HOBBIES_1_298,,,,50.0,0.2
CA_1,HOBBIES_1_282,,,,50.0,0.2
CA_1,HOBBIES_1_019,,,,50.0,0.2
CA_1,HOBBIES_1_288,,,,50.0,0.2
CA_1,HOBBIES_1_084,,,,50.0,0.2
CA_1,HOBBIES_1_261,,,,50.0,0.2
CA_1,HOBBIES_1_262,,,,50.0,0.2
CA_1,HOBBIES_1_030,,,,50.0,0.2
CA_1,HOBBIES_1_154,,,,50.0,0.2
CA_1,HOBBIES_1_129,,,,50.0,0.2
CA_1,HOBBIES_1_109,,,,50.0,0.2
CA_1,HOBBIES_1_016,,,,50.0,0.2
CA_1,HOBBIES_1_249,,,,50.0,0.2
CA_1,HOBBIES_1_135,,,,50.0,0.2
CA_1,HOBBIES_1_093,,,,50.0,0.2
CA_1,HOBBIES_1_177,,,,50.0,0.2
CA_1,HOBBIES_1_206,,,,50.0,0.2
CA_1,HOBBIES_1_008,,,,50.0,0.2
CA_1,HOBBIES_1_306,,,,50.0,0.2
CA_1,HOBBIES_1_279,,,,50.0,0.2
CA_1,HOBBIES_1_203,,,,50.0,0.2
CA_1,HOBBIES_1_023,,,,50.0,0.2
CA_1,HOBBIES_1_169,,,,50.0,0.2
CA_1,HOBBIES_1_170,,,,50.0,0.2
CA_1,HOBBIES_1_026,,,,50.0,0.2
CA_1,HOBBIES_1_074,,,,50.0,0.2
CA_1,HOBBIES_1_005,,,,50.0,0.2
CA_1,HOBBIES_1_286,,,,50.0,0.2
CA_1,HOBBIES_1_295,,,,50.0,0.2
CA_1,HOBBIES_1_057,,,,50.0,0.2
CA_1,HOBBIES_1_270,,,,50.0,0.2
CA_1,HOBBIES_1_077,,,,50.0,0.2
CA_1,HOBBIES_1_152,,,,50.0,0.2
CA_1,HOBBIES_1_242,,,,50.0,0.2
CA_1,HOBBIES_1_087,,,,50.0,0.2
CA_1,HOBBIES_1_033,,,,50.0,0.2
CA_1,HOBBIES_1_281,,,,50.0,0.2
CA_1,HOBBIES_1_194,,,,50.0,0.2
CA_1,HOBBIES_1_283,,,,50.0,0.2
CA_1,HOBBIES_1_278,,,,50.0,0.2
CA_1,HOBBIES_1_130,,,,50.0,0.2
CA_1,HOBBIES_1_069,,,,50.0,0.2
CA_1,HOBBIES_1_178,,,,50.0,0.2
CA_1,HOBBIES_1_118,,,,50.0,0.2
CA_1,HOBBIES_1_240,,,,50.0,0.2
CA_1,HOBBIES_1_198,,,,50.0,0.2
CA_1,HOBBIES_1_172,,,,50.0,0.2
CA_1,HOBBIES_1_209,,,,50.0,0.2
CA_1,HOBBIES_1_256,,,,50.0,0.2
CA_1,HOBBIES_1_139,,,,50.0,0.2
CA_1,HOBBIES_1_276,,,,50.0,0.2
CA_1,HOBBIES_1_244,,,,50.0,0.2
CA_1,HOBBIES_1_257,,,,50.0,0.2
CA_1,HOBBIES_1_133,,,,50.0,0.2
CA_1,HOBBIES_1_025,,,,50.0,0.2
CA_1,HOBBIES_1_076,,,,50.0,0.2
CA_1,HOBBIES_1_188,,,,50.0,0.2
