store_id,item_id,forecast_avg_daily,simulated_days_of_cover,current_inventory,incoming_inventory,lead_time_days,ordering_cost,holding_rate
CA_1,HOBBIES_1_158,4.1098222716399855,3,13,0,7,50.0,0.2
CA_1,HOBBIES_1_241,4.225703327920405,12,51,17,9,50.0,0.2
CA_1,HOBBIES_1_147,6.54318214051998,10,66,0,8,50.0,0.2
CA_1,HOBBIES_1_155,2.7045059156705427,7,19,11,4,50.0,0.2
CA_1,HOBBIES_1_297,1.754310361345812,7,13,0,9,50.0,0.2
CA_1,HOBBIES_1_141,1.595761253840869,13,21,0,7,50.0,0.2
CA_1,HOBBIES_1_166,2.038557076872639,3,7,0,5,50.0,0.2
CA_1,HOBBIES_1_247,1.2036790024956245,11,14,0,7,50.0,0.2
CA_1,HOBBIES_1_085,1.3351145815997623,4,6,0,10,50.0,0.2
CA_1,HOBBIES_1_186,1.2147089998375016,3,4,0,9,50.0,0.2
CA_1,HOBBIES_1_064,1.4804696031182711,8,12,3,9,50.0,0.2
CA_1,HOBBIES_1_055,2.0252268546510264,14,29,5,6,50.0,0.2
CA_1,HOBBIES_1_134,4.566396245986685,11,51,0,9,50.0,0.2
CA_1,HOBBIES_1_078,1.3791639459784117,11,16,0,6,50.0,0.2
CA_1,HOBBIES_1_226,1.1811592561056206,11,13,0,8,50.0,0.2
CA_1,HOBBIES_1_046,0.8247538708176769,12,10,2,8,50.0,0.2
CA_1,HOBBIES_1_050,1.4011808256017217,8,12,3,4,50.0,0.2
CA_1,HOBBIES_1_258,1.1060740070029564,3,4,3,5,50.0,0.2
CA_1,HOBBIES_1_089,1.6093251849659325,12,20,7,3,50.0,0.2
CA_1,HOBBIES_1_083,0.8056614300417563,7,6,2,4,50.0,0.2
CA_1,HOBBIES_1_029,1.3801782712307875,8,12,0,6,50.0,0.2
CA_1,HOBBIES_1_108,0.9223298226239782,6,6,0,6,50.0,0.2
CA_1,HOBBIES_1_099,0.8348647007604221,4,4,2,4,50.0,0.2
CA_1,HOBBIES_1_157,1.0318189729973042,14,15,5,6,50.0,0.2
CA_1,HOBBIES_1_215,1.0238299358399086,12,13,5,7,50.0,0.2
CA_1,HOBBIES_1_193,1.2352379994032492,10,13,0,4,50.0,0.2
CA_1,HOBBIES_1_081,0.7304604919248128,7,6,0,5,50.0,0.2
CA_1,HOBBIES_1_040,0.8192773836316235,12,10,0,5,50.0,0.2
CA_1,HOBBIES_1_126,1.0442570380699978,9,10,0,7,50.0,0.2
CA_1,HOBBIES_1_164,1.1049881820459067,7,8,0,5,50.0,0.2
CA_1,HOBBIES_1_300,1.1032971880294151,7,8,0,8,50.0,0.2
CA_1,HOBBIES_1_098,0.7065788076519145,4,3,0,5,50.0,0.2
CA_1,HOBBIES_1_144,0.8369205679230497,3,3,0,6,50.0,0.2
CA_1,HOBBIES_1_037,0.7187542352858651,9,7,3,6,50.0,0.2
