store_id,item_id,forecast_total_28,forecast_avg_daily,forecast_max_daily,forecast_std_daily,annual_demand_estimate,historical_avg_daily,historical_std_daily,historical_zero_rate,historical_max_daily,demand_cv,dept_id,cat_id,state_id,current_sell_price,estimated_annual_revenue,revenue_cumulative_share,abc_class,xyz_class,abc_xyz_class,service_level,z_score,simulated_days_of_cover,current_inventory,incoming_inventory,lead_time_days,ordering_cost,holding_rate,inventory_source,lead_time_demand_forecast,lead_time_demand_std,safety_stock,reorder_point,inventory_position,stockout_probability,stockout_probability_pct,stockout_risk,annual_holding_cost_per_unit,eoq,review_period_demand,order_up_to_level,reorder_required,recommended_order_qty,days_of_cover,recommended_action,abc_weight,priority_score
CA_1,HOBBIES_1_087,6.634701524262571,0.23695362586652038,0.4602681604396144,0.07878091360939625,86.48807344127994,0.044444444444444446,0.2557698715955029,0.9666666666666667,2,5.754692630314633,HOBBIES_1,HOBBIES,CA,12.88,1113.9663859236857,0.8167814554696037,B,Z,BZ,0.95,1.6448536269514722,3,1,0,6,50.0,0.2,SIMULATED,2.088743263069613,0.6265056769861549,2.0,5.0,1,0.9588772084649986,95.88772084649986,HIGH,2.5760000000000005,58.0,1.6586753810656427,7.0,True,58,4.220217251902535,URGENT REPLENISHMENT,2,107.5326325078999
CA_1,HOBBIES_1_186,34.011851995450044,1.2147089998375016,1.6514351815768087,0.17858216903838312,443.3687849406881,1.0333333333333334,1.2582313250812547,0.4,8,1.217642039457305,HOBBIES_1,HOBBIES,CA,15.92,7058.431056255755,0.2934420584718871,A,Z,AZ,0.98,2.0537489106318225,3,4,0,9,50.0,0.2,SIMULATED,11.525704933537988,3.774693975243764,8.0,20.0,4,0.9769089883023301,97.69089883023301,HIGH,3.184,119.0,8.502962998862511,29.0,True,119,3.2929670460728095,URGENT REPLENISHMENT,3,100.79095969271285
CA_1,HOBBIES_1_085,37.38320828479334,1.3351145815997623,1.736892400257112,0.2006423860421993,487.3168222839132,1.2222222222222223,1.234137808284676,0.34444444444444444,6,1.0097482897115886,HOBBIES_1,HOBBIES,CA,14.72,7173.303624019203,0.28002867496321365,A,Z,AZ,0.98,2.0537489106318225,4,6,0,10,50.0,0.2,SIMULATED,14.170686123480534,3.902686420707797,9.0,24.0,6,0.9818524355979091,98.18524355979092,HIGH,2.9440000000000004,129.0,9.345802071198335,34.0,True,129,4.493992941652797,URGENT REPLENISHMENT,3,99.00862903299043
CA_1,HOBBIES_1_158,115.0750236059196,4.1098222716399855,4.849596193477849,0.37425910216202574,1500.0851291485947,4.022222222222222,2.453970768842221,0.05555555555555555,12,0.6101030781395659,HOBBIES_1,HOBBIES,CA,22.98,34471.95626783471,0.06550826465959182,A,Y,AY,0.98,2.0537489106318225,3,13,0,7,50.0,0.2,SIMULATED,29.018620129176966,6.4925963789784875,14.0,44.0,13,0.9931915391352157,99.31915391352157,HIGH,4.596,181.0,28.7687559014799,73.0,True,181,3.1631530459489743,URGENT REPLENISHMENT,3,95.69252312950861
CA_1,HOBBIES_1_173,21.038417516265188,0.7513720541523281,1.0036510665201046,0.12466766722021413,274.25079976559977,0.6444444444444445,0.8115889687411186,0.5555555555555556,3,1.2593602386944687,HOBBIES_1,HOBBIES,CA,10.97,3008.5312734286294,0.5376279274340267,A,Z,AZ,0.98,2.0537489106318225,5,4,0,9,50.0,0.2,SIMULATED,6.819286900519816,2.4347669062233557,6.0,13.0,4,0.8765534682361378,87.65534682361378,HIGH,2.1940000000000004,112.0,5.259604379066297,19.0,True,112,5.323587235255136,URGENT REPLENISHMENT,3,95.18681048111294
CA_1,HOBBIES_1_232,90.60981457021055,3.236064806078948,4.0235074908396795,0.35670395257735626,1181.163654218816,1.2555555555555555,2.8147329532306435,0.6444444444444445,17,2.241820920591815,HOBBIES_1,HOBBIES,CA,0.48,566.9585540250316,0.9390391359319765,B,Z,BZ,0.95,1.6448536269514722,6,20,0,10,50.0,0.2,SIMULATED,29.55945750509615,8.900967137341032,15.0,45.0,20,0.8585840971472927,85.85840971472926,HIGH,0.096,1110.0,22.652453642552636,68.0,True,1110,6.180344034546519,URGENT REPLENISHMENT,2,93.9332550347557
CA_1,HOBBIES_1_135,5.467083740335633,0.1952529907262726,0.3080641959276862,0.050430370189400074,71.2673416150895,0.2222222222222222,0.4687486995404349,0.8,2,2.109359655813506,HOBBIES_1,HOBBIES,CA,20.38,1452.428422115524,0.7660678588244617,A,Z,AZ,0.98,2.0537489106318225,5,1,0,8,50.0,0.2,SIMULATED,1.7438269079316795,1.3258215364696682,3.0,5.0,1,0.7126117786595179,71.26117786595178,HIGH,4.076,42.0,1.3667709350839083,7.0,True,42,5.121534245115145,URGENT REPLENISHMENT,3,93.85030327770613
CA_1,HOBBIES_1_179,28.787755022780598,1.0281341079564499,1.3375142988574513,0.1454473449503693,375.2689494041042,1.2333333333333334,1.1020919841705745,0.28888888888888886,5,0.8935873707431382,HOBBIES_1,HOBBIES,CA,6.87,2578.097682406196,0.6053898590452411,A,Y,AY,0.98,2.0537489106318225,4,5,0,8,50.0,0.2,SIMULATED,9.130422472997132,3.117186861993402,7.0,17.0,5,0.9074223978695576,90.74223978695576,HIGH,1.374,166.0,7.196938755695149,25.0,True,166,4.863174072460321,URGENT REPLENISHMENT,3,93.38121757960484
CA_1,HOBBIES_1_225,5.114308906334727,0.18265388951195452,0.28774034336440923,0.05561056175380858,66.6686696718634,0.28888888888888886,0.5657736960623523,0.7666666666666667,2,1.9584406302290382,HOBBIES_1,HOBBIES,CA,29.96,1997.3933433690274,0.6752239096188496,A,Z,AZ,0.98,2.0537489106318225,2,1,0,10,50.0,0.2,SIMULATED,1.9974471875586337,1.7891335197688714,4.0,6.0,1,0.7114080726710855,71.14080726710856,HIGH,5.992000000000001,34.0,1.2785772265836817,8.0,True,34,5.474805534480649,URGENT REPLENISHMENT,3,92.26889066255552
CA_1,HOBBIES_1_090,144.26054996669896,5.152162498810677,6.573847921357768,0.5365840680709429,1880.539312065897,4.477777777777778,7.308956761318709,0.4111111111111111,36,1.6322728576032917,HOBBIES_1,HOBBIES,CA,1.08,2030.982457031169,0.6714281931602274,A,Z,AZ,0.98,2.0537489106318225,6,31,0,9,50.0,0.2,SIMULATED,46.83601836068147,21.926870283956127,46.0,93.0,31,0.7649203029080411,76.49203029080411,HIGH,0.21600000000000003,934.0,36.06513749167474,130.0,True,934,6.016889799237937,URGENT REPLENISHMENT,3,92.21794675051538
